title,genre,description
Avengers: Endgame,Action,Superheroes fight to save the world from Thanos
Avengers: Infinity War,Action,Superheroes battle Thanos to protect Earth
Iron Man,Action,A genius billionaire builds a powerful armored suit
Iron Man 2,Action,Iron Man faces new enemies and protects his technology
Captain America: The Winter Soldier,Action,A superhero discovers a dangerous conspiracy inside an organization
Captain America: Civil War,Action,Superheroes fight each other over government control
Thor,Action,A powerful god learns responsibility while fighting enemies
Thor: Ragnarok,Action,Thor battles enemies to save Asgard from destruction
Black Panther,Action,A king protects his advanced African kingdom from an enemy
Doctor Strange,Fantasy,A surgeon learns powerful magic and protects the world
Spider-Man: Homecoming,Action,A young superhero tries to balance school and fighting criminals
Spider-Man: Far From Home,Action,Spider-Man travels abroad and faces a new threat
Guardians of the Galaxy,Action,A group of unusual heroes team up to protect the galaxy
Guardians of the Galaxy Vol. 2,Action,A group of heroes faces new enemies while discovering family
The Dark Knight,Action,A superhero fights a dangerous criminal who creates chaos in Gotham
Man of Steel,Action,A superhero discovers his origin and protects humanity
Wonder Woman,Action,A warrior princess leaves her island to fight in a world war
Justice League,Action,A group of superheroes joins together to fight a powerful enemy
Inception,Sci-Fi,A skilled team enters people's dreams to complete a difficult mission
Interstellar,Sci-Fi,A group of astronauts travels through space to find a new home
The Martian,Sci-Fi,An astronaut must survive alone on Mars after being left behind
Gravity,Sci-Fi,Two astronauts struggle to survive after an accident in space
Jurassic Park,Adventure,Scientists create dinosaurs and struggle to survive their escape
Avatar,Sci-Fi,A marine discovers a new world and joins its people
Titanic,Romance,A young couple falls in love during a tragic voyage
The Notebook,Romance,A couple struggles to keep their love alive over many years
The Conjuring,Horror,Investigators help a family facing a terrifying supernatural presence
It,Horror,A group of children face a mysterious and dangerous creature
The Hangover,Comedy,Friends try to remember what happened after a wild night
Jumanji,Adventure,A group of people enters a dangerous magical game
3 Idiots,Comedy,"Three friends experience college life, friendship and the pressure of education"
Dangal,Sports,"A father trains his daughters to become successful wrestlers"
Zindagi Na Milegi Dobara,Drama,"Three friends go on a road trip and discover life, friendship and themselves"
Gully Boy,Drama,"A young man from Mumbai discovers his talent for rap music"
Andhadhun,Thriller,"A talented blind pianist becomes involved in a mysterious crime"
Drishyam,Thriller,"A family tries to protect themselves after becoming involved in a serious crime"
Baahubali: The Beginning,Action,"A young man discovers his royal identity and fights to reclaim his kingdom"
Baahubali 2: The Conclusion,Action,"A warrior fights to protect his kingdom and uncover the truth about his family"
RRR,Action,"Two revolutionaries form a powerful friendship and fight against British rule"
KGF: Chapter 1,Action,"A determined man rises from poverty and becomes a powerful figure in the gold mining world"
KGF: Chapter 2,Action,"A powerful gangster fights to protect his empire and fulfill his promise"
Chhichhore,Comedy,"Friends remember their college days and learn about friendship and overcoming failure"
Taare Zameen Par,Drama,"A teacher helps a young student discover his creativity and overcome difficulties"
Bajrangi Bhaijaan,Drama,"A kind man helps a lost Pakistani girl return to her family"
Queen,Comedy,"A young woman travels alone after her wedding is cancelled and discovers independence"
Stree,Horror,"A small town is haunted by a mysterious female spirit"
Bhool Bhulaiyaa,Horror,"A man investigates strange supernatural events in an old palace"
War,Action,"Two skilled agents become involved in a dangerous mission and fight each other"
Pathaan,Action,"An Indian spy returns to stop a dangerous enemy from attacking the country"
Jawan,Action,"A man leads a group of people to fight against corruption and injustice"
